subject,graph,method,n_channels,accuracy
11,1,2,12,0.5818181818181818
11,1,2,15,0.6545454545454545
11,1,2,18,0.6454545454545456
11,1,2,21,0.5727272727272728
11,1,2,24,0.5727272727272726
11,1,2,27,0.5818181818181818
11,1,2,30,0.5909090909090909
11,1,2,30,0.5909090909090909
11,1,3,3,0.4909090909090909
11,1,3,6,0.5909090909090908
11,1,3,9,0.6181818181818182
11,1,3,12,0.4818181818181818
11,1,3,15,0.609090909090909
11,1,3,18,0.6272727272727273
11,1,3,21,0.5727272727272726
11,1,3,24,0.5909090909090909
11,1,3,27,0.5727272727272726
11,1,3,30,0.5909090909090909
11,1,3,30,0.5909090909090909
12,1,1,3,0.4916666666666667
12,1,1,4,0.5499999999999999
12,1,1,5,0.5
12,1,1,7,0.4666666666666667
12,1,1,8,0.4833333333333334
12,1,1,9,0.4416666666666667
12,1,1,11,0.4666666666666667
12,1,1,12,0.5166666666666666
12,1,1,13,0.45
12,1,1,14,0.5916666666666667
12,1,1,16,0.5666666666666667
12,1,1,18,0.625
12,1,1,20,0.6333333333333333
12,1,1,22,0.55
12,1,1,29,0.55
12,1,1,30,0.55
12,1,2,3,0.6666666666666666
12,1,2,6,0.575
12,1,2,9,0.5833333333333333
12,1,2,12,0.5583333333333333
12,1,2,15,0.4916666666666666
12,1,2,18,0.5499999999999999
12,1,2,21,0.575
12,1,2,24,0.5416666666666666
12,1,2,27,0.5083333333333334
12,1,2,30,0.55
12,1,2,30,0.55
12,1,3,3,0.55
12,1,3,6,0.5333333333333333
12,1,3,9,0.6083333333333334
12,1,3,12,0.6333333333333333
12,1,3,15,0.5416666666666666
12,1,3,18,0.4916666666666666
12,1,3,21,0.5666666666666667
12,1,3,24,0.6083333333333333
12,1,3,27,0.5666666666666667
12,1,3,30,0.55
12,1,3,30,0.55
13,1,1,3,0.7416666666666668
13,1,1,4,0.7083333333333334
13,1,1,5,0.7166666666666666
13,1,1,7,0.7500000000000001
13,1,1,8,0.775
13,1,1,9,0.7833333333333333
13,1,1,11,0.7333333333333334
13,1,1,12,0.7333333333333334
13,1,1,13,0.7583333333333334
13,1,1,14,0.825
13,1,1,16,0.7833333333333333
13,1,1,18,0.7750000000000001
13,1,1,20,0.8166666666666667
13,1,1,22,0.7916666666666667
13,1,1,29,0.8666666666666668
13,1,1,30,0.8666666666666668
13,1,2,3,0.6666666666666667
13,1,2,6,0.7499999999999999
13,1,2,9,0.7833333333333334
13,1,2,12,0.85
13,1,2,15,0.875
13,1,2,18,0.925
13,1,2,21,0.8916666666666668
13,1,2,24,0.8916666666666666
13,1,2,27,0.85
13,1,2,30,0.8666666666666668
13,1,2,30,0.8666666666666668
13,1,3,3,0.7583333333333334
13,1,3,6,0.7833333333333333
13,1,3,9,0.7166666666666667
13,1,3,12,0.8
13,1,3,15,0.85
13,1,3,18,0.8666666666666666
13,1,3,21,0.825
13,1,3,24,0.8
13,1,3,27,0.85
13,1,3,30,0.8666666666666668
13,1,3,30,0.8666666666666668
14,1,1,3,0.725
14,1,1,4,0.7249999999999999
14,1,1,5,0.7416666666666666
14,1,1,7,0.8
14,1,1,8,0.7916666666666667
14,1,1,9,0.7583333333333334
14,1,1,11,0.7916666666666667
14,1,1,12,0.7833333333333333
14,1,1,13,0.825
14,1,1,14,0.8
14,1,1,16,0.7666666666666667
14,1,1,18,0.8166666666666668
14,1,1,20,0.8166666666666668
14,1,1,22,0.7416666666666667
14,1,1,29,0.775
14,1,1,30,0.7416666666666667
14,1,2,3,0.65
14,1,2,6,0.7416666666666666
14,1,2,9,0.7750000000000001
14,1,2,12,0.75
14,1,2,15,0.7333333333333333
14,1,2,18,0.7916666666666667
14,1,2,21,0.7583333333333333
14,1,2,24,0.7666666666666666
14,1,2,27,0.7000000000000001
14,1,2,30,0.7416666666666667
14,1,2,30,0.7416666666666667
14,1,3,3,0.7333333333333334
14,1,3,6,0.7333333333333333
14,1,3,9,0.725
14,1,3,12,0.7333333333333333
14,1,3,15,0.7583333333333334
14,1,3,18,0.6916666666666667
14,1,3,21,0.7000000000000001
14,1,3,24,0.7416666666666667
14,1,3,27,0.7749999999999999
14,1,3,30,0.7416666666666667
14,1,3,30,0.7416666666666667
15,1,1,3,0.4999999999999999
15,1,1,4,0.5666666666666667
15,1,1,5,0.5250000000000001
15,1,1,7,0.5083333333333334
15,1,1,8,0.5083333333333333
15,1,1,9,0.5416666666666666
15,1,1,11,0.5583333333333333
15,1,1,12,0.6166666666666667
15,1,1,13,0.5583333333333333
15,1,1,14,0.5666666666666667
15,1,1,16,0.5916666666666667
15,1,1,18,0.5666666666666667
15,1,1,20,0.6083333333333333
15,1,1,22,0.575
15,1,1,29,0.5
15,1,1,30,0.5166666666666667
15,1,2,3,0.4666666666666667
15,1,2,6,0.4916666666666667
15,1,2,9,0.55
15,1,2,12,0.625
15,1,2,15,0.6416666666666666
15,1,2,18,0.7000000000000001
15,1,2,21,0.6333333333333334
15,1,2,24,0.625
15,1,2,27,0.5999999999999999
15,1,2,30,0.5166666666666667
15,1,2,30,0.5166666666666667
15,1,3,3,0.5333333333333333
15,1,3,6,0.5833333333333333
15,1,3,9,0.6416666666666667
15,1,3,12,0.65
15,1,3,15,0.6166666666666667
15,1,3,18,0.5000000000000001
15,1,3,21,0.5666666666666667
15,1,3,24,0.5666666666666667
15,1,3,27,0.525
15,1,3,30,0.5166666666666667
15,1,3,30,0.5166666666666667
16,1,1,3,0.6500000000000001
16,1,1,4,0.625
16,1,1,5,0.5916666666666666
16,1,1,7,0.5666666666666667
